id,steps,label
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,8,1
1503960366,551,1
1503960366,1764,1
1503960366,1259,1
1503960366,253,1
1503960366,4470,1
1503960366,4919,1
1503960366,1905,1
1503960366,1038,1
1503960366,14,1
1503960366,606,1
1503960366,56,1
1503960366,782,1
1503960366,1132,1
1503960366,918,1
1503960366,39,1
1503960366,0,1
1503960366,27,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,6,1
1503960366,73,1
1503960366,2850,1
1503960366,4854,1
1503960366,24,1
1503960366,118,1
1503960366,19,1
1503960366,510,1
1503960366,510,1
1503960366,96,1
1503960366,4100,1
1503960366,1756,1
1503960366,477,1
1503960366,147,1
1503960366,214,1
1503960366,1286,1
1503960366,54,1
1503960366,53,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,53,1
1503960366,212,1
1503960366,2832,1
1503960366,43,1
1503960366,220,1
1503960366,181,1
1503960366,12,1
1503960366,44,1
1503960366,205,1
1503960366,152,1
1503960366,226,1
1503960366,516,1
1503960366,559,1
1503960366,1104,1
1503960366,252,1
1503960366,0,1
1503960366,3305,1
1503960366,33,1
1503960366,20,1
1503960366,60,1
1503960366,0,1
1503960366,7,1
1503960366,0,1
1503960366,4,1
1503960366,11,1
1503960366,470,1
1503960366,1967,1
1503960366,729,1
1503960366,659,1
1503960366,1787,1
1503960366,333,1
1503960366,980,1
1503960366,371,1
1503960366,605,1
1503960366,623,1
1503960366,467,1
1503960366,282,1
1503960366,3319,1
1503960366,1558,1
1503960366,786,1
1503960366,313,1
1503960366,0,1
1503960366,0,1
1503960366,4,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,70,1
1503960366,490,1
1503960366,1513,1
1503960366,224,1
1503960366,874,1
1503960366,1451,1
1503960366,329,1
1503960366,61,1
1503960366,456,1
1503960366,775,1
1503960366,1446,1
1503960366,2407,1
1503960366,103,1
1503960366,447,1
1503960366,2120,1
1503960366,273,1
1503960366,455,1
1503960366,263,1
1503960366,23,1
1503960366,7,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,6,1
1503960366,210,1
1503960366,1530,1
1503960366,124,1
1503960366,1803,1
1503960366,113,1
1503960366,1124,1
1503960366,1160,1
1503960366,409,1
1503960366,631,1
1503960366,203,1
1503960366,396,1
1503960366,2165,1
1503960366,147,1
1503960366,2016,1
1503960366,521,1
1503960366,1176,1
1503960366,389,1
1503960366,112,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,4,1
1503960366,19,1
1503960366,0,1
1503960366,172,1
1503960366,1952,1
1503960366,279,1
1503960366,207,1
1503960366,145,1
1503960366,242,1
1503960366,3160,1
1503960366,852,1
1503960366,270,1
1503960366,24,1
1503960366,444,1
1503960366,4093,1
1503960366,1445,1
1503960366,332,1
1503960366,13,1
1503960366,390,1
1503960366,138,1
1503960366,0,1
1503960366,0,1
1503960366,10,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,53,1
1503960366,538,1
1503960366,3454,1
1503960366,2106,1
1503960366,1307,1
1503960366,909,1
1503960366,303,1
1503960366,150,1
1503960366,123,1
1503960366,127,1
1503960366,198,1
1503960366,50,1
1503960366,533,1
1503960366,433,1
1503960366,75,1
1503960366,850,1
1503960366,4067,1
1503960366,115,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,1109,1
1503960366,5000,1
1503960366,1117,1
1503960366,312,1
1503960366,343,1
1503960366,578,1
1503960366,876,1
1503960366,1373,1
1503960366,1841,1
1503960366,638,1
1503960366,718,1
1503960366,421,1
1503960366,78,1
1503960366,57,1
1503960366,552,1
1503960366,97,1
1503960366,0,1
1503960366,0,1
1503960366,11,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,55,1
1503960366,1114,1
1503960366,1113,1
1503960366,308,1
1503960366,467,1
1503960366,1884,1
1503960366,184,1
1503960366,298,1
1503960366,497,1
1503960366,355,1
1503960366,588,1
1503960366,1564,1
1503960366,396,1
1503960366,99,1
1503960366,172,1
1503960366,371,1
1503960366,447,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,34,1
1503960366,1732,1
1503960366,497,1
1503960366,296,1
1503960366,322,1
1503960366,657,1
1503960366,1657,1
1503960366,455,1
1503960366,278,1
1503960366,953,1
1503960366,1123,1
1503960366,1479,1
1503960366,366,1
1503960366,349,1
1503960366,4587,1
1503960366,351,1
1503960366,14,1
1503960366,50,1
1503960366,29,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,0,1
1503960366,82,1
1503960366,534,1
1503960366,1623,1
1503960366,504,1
1503960366,414,1
1503960366,411,1
1503960366,1226,1
1503960366,2674,1
1503960366,236,1
1503960366,383,1
1503960366,411,1
1503960366,325,1
1503960366,2937,1
1503960366,1086,1
1503960366,61,1
1503960366,119,1
1503960366,413,1
1503960366,311,1
1503960366,0,1
1503960366,7,1
1503960366,8,1
1503960366,0,1
1503960366,8,1
1503960366,0,1
1503960366,29,1
1503960366,553,1
1503960366,2041,1
