id,x,label,cluster
23,"[ 6619.  6470.  4538.  3229.  4071.  4037.  3592.  3253.  2991.  6552.
  6445.  4695.  3632.  6075.  5611.  4925.  6770.  3299.  5284.  5452.
  4018.  5667.  3546.  4666.  6347.  5733.  4745.  5854.  4444.  5397.
  4696.  5986.  4557.  5034.  5704.  5655.  5676.  4039.  9031.  7350.
  4768.  3381.  9165. 15239.  8859.  7326.  9448.  8522.  5736.  9242.
  7689.  8608.  8587.  8499. 10008.  8830.  7267.  9646.  8381.  4728.
  8352.  6469.  6787.  3310.  3373.  2536.]",0,1
24,"[ 738.  352. 1047. 1748.  828.  831. 1244.  604. 1098. 2283.  702. 1594.
 1188.  633. 1488. 1608.  806. 1109. 1042. 2118. 1448.  950.  620. 1332.
 1716.  872. 1251. 1628. 1163.  970. 1771. 3009. 1396. 1522.  689.  879.
 1623. 1827.  625.  855.  852. 1046. 1025. 1125. 2182. 1014. 1539. 2650.
 2605.  662. 1691. 1716. 1183. 1217.  947. 2567.  955. 1201. 1091.  711.
 1242. 1172. 1257. 2331.  965. 1592.]",0,1
25,"[ 6245.  8449.  5984.  3837.  6513. 10562.  7617.  5489.  3854.  7961.
 10742. 15287. 13946.  8898.  6997. 18068. 15519. 20751. 14519. 12344.
 14716. 17321. 17853. 16835. 16225.  7385. 12945.  9085.  5582. 15554.
 20636. 13536. 13640. 12736. 20970. 20461. 23198. 15832. 14020.  9434.
 10878. 19416. 14521. 17162.  8461.  6640. 17978. 15486. 18819. 13423.
 15420. 19061. 13662. 16177. 12520. 12806.  9042. 19957. 17354. 17224.
 16133. 15625. 14642.  9548. 16600.  8574.]",0,1
26,"[ 9761.  9312.  8383.  4725.  9659.  8987.  4889.  6796. 12422. 10193.
  4856.  9550.  4746. 10221.  8818.  8190.  8469.  8275.  4718.  9566.
  4843.  6662.  4339.  5707.  5889.  6577.  5539.  5348.  7784.  3964.
  8997.  6035. 12050.  9700. 10661.  5600. 11026.  7025.  6365. 10288.
  6835.  7999.  9754.  8468.  9212.  7834.  5970.  6437.  5616.  7099.
  6117.  8947.  8856.  8200.  5971.  4263.  9996.  7749.  8107.  9642.
  3522.  6731.  5683.  7133.  7759.  5358.]",0,2
4,"[ 8842. 12015.  5627.  8296.  8866.  7411.  3843.  7492.  7816.  9979.
  8285.  9887. 14677. 10953. 23071.  6376.  8372. 10512.  4729.  6974.
  6489.  2367.  5460.  8053.  9820.  5547.  8671.  7435.  7716.  4115.
 10308.  9008.  5714.  6659.  4637.  5845. 10866. 10707.  9714. 10808.
  9262.  9715.  6728. 10255. 14342. 11534. 11385.  7154.  9051.  8263.
 11501.  7037. 12347. 10532.  6598. 11509.  9093. 14148. 10970. 14312.
 11619. 16184. 10871. 10157.  3095. 11002.]",0,2
5,"[ 7277.  4711. 11980.  3393.  9183.  8461.  6071.  7039.  5307.  5801.
  9257.  6058.  7258.  6602.  6206.  7584.  6116.  7825. 10633.  6763.
  4748.  4565.  4043.  9144. 14220.  5284. 10881.  5666.  6151.  4678.
  8409.  8924. 10804. 11476.  9685.  7395.  5744.  8959.  4678.  8926.
  7264.  6370.  8764.  8121.  7270.  5232.  7154.  7543.  7423.  8312.
  6566.  8671.  4234. 10866.  8399.  9641. 10027.  7876.  5711.  9366.
  7818. 20266.  8720.  7828. 11276.  9950.]",0,0
621e2e8e67b776a24055b564,"[ 8833.  9727.  8253.  9015. 12949. 25526.  3796.  9245.  8422.  8284.
  8560. 10899.  1402.  7595.  8378.  8872.  8114.  8792. 10215.  9308.
  5381.  9705.  9619.  9653.  9321. 10999.  9842.  2455.  9606. 10545.
  8550.  8063. 10200.  4816.  8762. 14393.  9896. 10316.  9184. 10203.
  8347.  4545.  8205. 11002.  6249.  9967. 10111.  7783. 11235.  8846.
  8513.  8768.  8585.  9985.  8882. 10071. 10208. 10565. 10232.  9592.
 12525. 11918.  2472. 12090.  1911.  8522.]",1,0
621e2eaf67b776a2406b14ac,"[16790.5  5466.  21913.  20384.   3103.  13947.  18266.  15010.  14488.
 18084.  26027.  13168.  16465.  13146.  16898.  19682.  20238.  14995.
 14958.  32655.  17329.  24422.  29500.  18294.  43112.  25177.  14766.
  6930.  16718.  13310.  25743.  18229.  18972.  12038.  14092.  14390.
 15767.   9935.  17922.  18324.   7373.  13100.  15013.  14607.  18363.
 14346.  20046.  12424.  11669.  12767.  17620.  15381.  11085.  10271.
 10389.  17503.  13030.   8829.  12139.  10822.  18280.  25858.  12844.
 21764.  19116.  17261. ]",1,0
621e2ed667b776a24085d8d1,"[  686.  2308.  2959.  1895.  9079.   504.   304.  1946.  2991.  2920.
  2963.  6157. 10250.   995.  3255.  5143.  2276.  6347.  2068.  4141.
  4814.  5343.  3206.  7598.  3704.  3007. 10026. 10053. 10411.  5920.
  4592.  5580.  8922.  7299.  8745.  5146.  2997.  8442.  7839.  6801.
  9683.  5623.  5431.  2959.  8541.  5944.  2881.   819.  4532. 10129.
  4097.  4738.  6980.  4726.  1310.  3609.  5740.  3285.  5443.  4592.
  6134.  5612.  6261.  4101.  3151.  4457.]",1,1
621e2efa67b776a2409dd1c3,"[3.40000e+03 1.34200e+03 2.30700e+03 5.15900e+03 4.95500e+03 1.66140e+04
 5.09800e+03 3.43000e+03 9.94800e+03 8.65200e+03 1.29500e+04 3.20000e+03
 3.94200e+03 5.45900e+03 1.70000e+01 4.70500e+03 7.44200e+03 7.84900e+03
 4.55000e+03 8.61900e+03 5.78200e+03 7.43400e+03 1.90790e+04 2.46000e+03
 2.63300e+03 8.83600e+03 4.28400e+03 9.43200e+03 7.89000e+02 2.04500e+03
 1.65850e+04 9.46500e+03 1.18690e+04 1.38490e+04 5.51300e+03 7.41268e+03
 7.41268e+03 3.34100e+03 2.63800e+03 7.41268e+03 0.00000e+00 7.41268e+03
 7.41268e+03 7.41268e+03 7.41268e+03 4.71700e+03 7.41268e+03 7.41268e+03
 7.41268e+03 7.41268e+03 7.41268e+03 7.41268e+03 7.41268e+03 7.41268e+03
 7.41268e+03 7.41268e+03 7.41268e+03 7.41268e+03 7.41268e+03 7.41268e+03
 7.41268e+03 7.41268e+03 7.41268e+03 7.41268e+03 7.41268e+03 7.41268e+03]",1,0
