id,steps,label
1,9,0
1,25,0
1,13,0
1,105,0
1,856,0
1,3022,0
1,1551,0
1,656,0
1,166,0
1,1853,0
1,2326,0
1,713,0
1,1722,0
1,1343,0
1,3225,0
1,66,0
1,1175,0
1,120,0
1,49,0
1,495,0
1,212,0
1,1522,0
1,1017,0
1,916,0
1,2529,0
1,2057,0
1,411,0
1,131,0
1,61,0
1,934,0
1,490,0
1,293,0
1,665,0
1,7,0
1,84,0
1,375,0
1,62,0
1,375,0
1,361,0
1,1644,0
1,232,0
1,520,0
1,1353,0
1,586,0
1,356,0
1,425,0
1,904,0
1,348,0
1,640,0
1,258,0
1,144,0
1,46,0
1,19,0
1,6,0
1,89,0
1,206,0
1,511,0
1,164,0
1,797,0
1,1479,0
1,1233,0
1,450,0
1,112,0
1,234,0
1,124,0
1,173,0
1,182,0
1,567,0
1,424,0
1,8,0
1,83,0
1,62,0
1,7,0
1,4,0
1,47,0
1,307,0
1,405,0
1,788,0
1,7829,0
1,323,0
1,628,0
1,183,0
1,270,0
1,416,0
1,413,0
1,621,0
1,1501,0
1,274,0
1,549,0
1,47,0
1,247,0
1,182,0
1,146,0
1,68,0
1,2156,0
1,4134,0
1,511,0
1,376,0
1,139,0
1,212,0
1,244,0
1,430,0
1,137,0
1,189,0
1,619,0
1,501,0
1,106,0
1,6,0
1,9,0
1,45,0
1,130,0
1,220,0
1,151,0
1,879,0
1,2313,0
1,427,0
1,12,0
1,140,0
1,276,0
1,170,0
1,1346,0
1,240,0
1,509,0
1,496,0
1,254,0
1,19,0
1,222,0
1,343,0
1,270,0
1,395,0
1,116,0
1,344,0
1,154,0
1,164,0
1,318,0
1,180,0
1,664,0
1,25,0
1,262,0
1,268,0
1,56,0
1,7,0
1,59,0
1,356,0
1,138,0
1,95,0
1,56,0
1,697,0
1,1080,0
1,1547,0
1,192,0
1,721,0
1,546,0
1,1223,0
1,1242,0
1,860,0
1,512,0
1,319,0
1,206,0
1,38,0
1,95,0
1,471,0
1,859,0
1,218,0
1,1173,0
1,1101,0
1,595,0
1,441,0
1,55,0
1,991,0
1,1161,0
1,774,0
1,1723,0
1,1795,0
1,787,0
1,1109,0
1,262,0
1,57,0
1,15,0
1,4,0
1,4,0
1,84,0
1,572,0
1,295,0
1,958,0
1,2796,0
1,919,0
1,944,0
1,272,0
1,596,0
1,925,0
1,1063,0
1,285,0
1,518,0
1,368,0
1,478,0
1,125,0
1,43,0
1,14,0
1,96,0
1,178,0
1,165,0
1,233,0
1,325,0
1,127,0
1,1951,0
1,4122,0
1,447,0
1,390,0
1,743,0
1,62,0
1,967,0
1,646,0
1,142,0
1,188,0
1,61,0
1,98,0
1,6,0
1,56,0
1,334,0
1,1035,0
1,2568,0
1,1253,0
1,1032,0
1,645,0
1,169,0
1,828,0
1,172,0
1,60,0
1,9,0
1,666,0
1,129,0
1,214,0
1,380,0
1,224,0
1,9,0
1,4,0
1,6,0
1,11,0
1,238,0
1,493,0
1,187,0
1,927,0
1,4736,0
1,1867,0
1,409,0
1,573,0
1,302,0
1,357,0
1,286,0
1,343,0
1,397,0
1,390,0
1,317,0
1,159,0
1,69,0
1,19,0
1,10,0
1,11,0
1,71,0
1,335,0
1,136,0
1,401,0
1,599,0
1,684,0
1,1745,0
1,856,0
1,441,0
1,686,0
1,974,0
1,949,0
1,679,0
1,390,0
1,583,0
1,589,0
1,15,0
1,36,0
1,46,0
1,498,0
1,40,0
1,335,0
1,1231,0
1,2738,0
1,768,0
1,495,0
1,1037,0
1,755,0
1,1803,0
1,843,0
1,580,0
1,548,0
1,225,0
1,23,0
1,59,0
1,432,0
1,593,0
1,266,0
1,1190,0
1,2234,0
1,365,0
1,323,0
1,117,0
1,777,0
1,460,0
1,803,0
1,960,0
1,172,0
1,1847,0
1,714,0
1,355,0
1,2707,0
1,143,0
1,38,0
1,10,0
1,5,0
1,16,0
1,361,0
1,2877,0
1,648,0
1,258,0
1,389,0
1,948,0
1,1282,0
1,799,0
1,130,0
1,370,0
1,401,0
1,479,0
1,77,0
1,350,0
1,63,0
1,46,0
1,4,0
1,40,0
1,454,0
1,319,0
1,611,0
1,1469,0
1,1896,0
1,2075,0
1,777,0
1,215,0
1,349,0
1,329,0
1,325,0
1,896,0
1,493,0
1,191,0
1,521,0
1,13,0
1,4,0
1,48,0
1,7,0
1,101,0
1,206,0
1,75,0
1,36,0
1,89,0
1,721,0
1,1527,0
1,923,0
1,258,0
1,158,0
1,220,0
1,1404,0
1,1090,0
1,639,0
1,371,0
1,755,0
1,91,0
1,26,0
1,24,0
1,11,0
1,34,0
1,96,0
1,268,0
1,706,0
1,624,0
1,224,0
1,124,0
1,151,0
1,466,0
1,548,0
1,409,0
1,343,0
1,58,0
1,335,0
1,130,0
1,160,0
1,5,0
1,15,0
1,63,0
1,6,0
1,4,0
1,8,0
1,10,0
1,299,0
1,772,0
1,1207,0
1,471,0
1,29,0
1,134,0
1,609,0
1,1190,0
1,548,0
1,903,0
1,2460,0
1,1069,0
1,470,0
1,378,0
1,90,0
1,43,0
1,34,0
1,6,0
1,72,0
1,540,0
1,487,0
1,653,0
1,1202,0
1,1824,0
1,460,0
1,482,0
1,186,0
1,96,0
1,844,0
1,786,0
1,701,0
1,990,0
1,581,0
1,549,0
1,18,0
1,58,0
1,6,0
1,857,0
1,214,0
1,875,0
1,1530,0
1,291,0
1,966,0
1,1125,0
1,318,0
1,140,0
1,618,0
1,231,0
1,351,0
1,57,0
1,11,0
1,65,0
1,8,0
1,103,0
1,461,0
1,2730,0
1,199,0
1,349,0
1,545,0
1,440,0
1,428,0
1,218,0
1,370,0
1,933,0
1,49,0
1,89,0
1,264,0
1,5,0
1,138,0
1,474,0
1,346,0
1,672,0
1,942,0
1,281,0
1,123,0
1,122,0
1,280,0
1,681,0
1,707,0
1,399,0
1,133,0
1,97,0
1,60,0
1,6,0
1,33,0
1,92,0
1,125,0
1,582,0
1,336,0
1,421,0
1,411,0
1,67,0
1,233,0
1,3446,0
1,1111,0
1,855,0
1,903,0
1,639,0
1,284,0
1,212,0
1,10,0
1,65,0
1,17,0
1,30,0
1,67,0
1,307,0
1,635,0
1,608,0
1,94,0
1,7,0
1,144,0
1,271,0
1,445,0
1,340,0
1,409,0
1,235,0
1,122,0
1,62,0
1,4,0
1,25,0
1,54,0
1,177,0
1,428,0
1,453,0
1,1254,0
1,2342,0
1,744,0
1,773,0
1,93,0
1,1197,0
1,501,0
1,644,0
1,429,0
1,904,0
1,6,0
1,83,0
1,15,0
1,4,0
1,6,0
1,56,0
1,45,0
1,55,0
1,369,0
1,610,0
1,749,0
1,2524,0
1,270,0
1,857,0
1,1218,0
1,669,0
1,964,0
1,1397,0
1,1292,0
1,286,0
1,47,0
1,39,0
1,16,0
1,34,0
1,366,0
1,349,0
1,157,0
1,275,0
1,412,0
1,295,0
1,417,0
1,257,0
1,765,0
1,1073,0
1,778,0
1,2575,0
1,480,0
1,530,0
1,147,0
1,1087,0
1,6,0
1,12,0
1,130,0
1,520,0
1,3182,0
1,753,0
1,623,0
1,697,0
1,569,0
1,806,0
1,361,0
1,130,0
1,842,0
1,1048,0
1,104,0
1,706,0
1,1247,0
1,1382,0
1,21,0
1,879,0
1,1563,0
1,416,0
1,11,0
1,4,0
1,678,0
1,62,0
1,209,0
1,522,0
1,346,0
1,2093,0
1,1685,0
1,2581,0
1,633,0
1,206,0
1,249,0
1,7,0
1,50,0
1,10,0
1,50,0
1,22,0
1,163,0
1,630,0
1,3192,0
1,887,0
1,304,0
1,464,0
1,245,0
1,239,0
1,986,0
1,341,0
1,270,0
1,564,0
1,1653,0
1,149,0
1,182,0
1,18,0
1,41,0
1,40,0
1,4,0
1,29,0
1,6,0
1,71,0
1,245,0
1,354,0
1,155,0
1,3112,0
1,841,0
1,399,0
1,403,0
1,1177,0
1,1380,0
1,496,0
1,1486,0
1,391,0
1,138,0
1,6,0
1,109,0
1,340,0
1,2017,0
1,2328,0
1,2093,0
1,1454,0
1,378,0
1,911,0
1,201,0
1,1633,0
1,713,0
1,391,0
1,911,0
1,494,0
1,436,0
1,94,0
1,45,0
1,6,0
1,62,0
1,6,0
1,6,0
1,249,0
1,686,0
1,2135,0
1,1104,0
1,1207,0
1,1279,0
1,335,0
1,498,0
1,748,0
1,1135,0
1,560,0
1,330,0
1,409,0
1,43,0
1,126,0
1,4,0
1,4,0
1,35,0
1,4,0
1,184,0
1,708,0
1,1139,0
1,405,0
1,1918,0
1,630,0
1,463,0
1,2022,0
1,196,0
1,323,0
1,1149,0
1,600,0
1,1196,0
1,603,0
1,2165,0
1,1166,0
1,114,0
1,64,0
1,13,0
1,112,0
1,335,0
1,3518,0
1,642,0
1,360,0
1,558,0
1,144,0
1,856,0
1,166,0
1,282,0
1,1204,0
1,621,0
1,457,0
1,334,0
1,728,0
1,294,0
1,556,0
1,3549,0
1,399,0
1,979,0
1,1668,0
1,480,0
1,368,0
1,310,0
1,1202,0
1,384,0
1,1591,0
1,1687,0
1,584,0
1,244,0
1,26,0
1,42,0
1,9,0
1,7,0
1,227,0
1,475,0
1,2723,0
1,1027,0
1,750,0
1,455,0
1,619,0
1,1286,0
1,2051,0
1,862,0
1,498,0
1,934,0
1,830,0
1,466,0
1,225,0
1,604,0
1,20,0
1,55,0
1,27,0
1,146,0
1,1403,0
1,2000,0
1,700,0
1,948,0
1,535,0
1,503,0
1,87,0
1,225,0
1,240,0
1,586,0
1,365,0
1,552,0
1,420,0
1,50,0
1,6,0
1,63,0
1,6,0
1,106,0
1,1338,0
1,2244,0
1,1947,0
1,357,0
1,780,0
1,939,0
1,247,0
1,779,0
1,377,0
1,552,0
1,259,0
1,869,0
1,1232,0
1,295,0
1,37,0
1,9,0
1,9,0
1,40,0
1,23,0
1,5,0
1,13,0
1,182,0
1,324,0
1,3472,0
1,970,0
1,417,0
1,839,0
1,513,0
1,483,0
1,1033,0
1,569,0
1,1263,0
1,91,0
1,143,0
1,7,0
1,35,0
1,25,0
1,144,0
1,16,0
1,361,0
1,277,0
1,113,0
1,2097,0
1,525,0
1,822,0
1,1258,0
1,691,0
1,592,0
1,17,0
1,987,0
1,1786,0
1,803,0
1,724,0
1,432,0
1,20,0
1,10,0
1,10,0
1,27,0
1,9,0
1,176,0
1,625,0
1,2785,0
1,547,0
1,568,0
1,183,0
1,810,0
1,787,0
1,159,0
1,564,0
1,383,0
1,106,0
1,19,0
1,7,0
1,8,0
1,64,0
1,336,0
1,206,0
1,623,0
1,1333,0
1,1139,0
1,807,0
1,243,0
1,120,0
1,68,0
1,299,0
1,980,0
1,637,0
1,285,0
1,351,0
1,23,0
1,52,0
1,42,0
1,20,0
1,97,0
1,612,0
1,220,0
1,843,0
1,621,0
1,761,0
1,715,0
1,485,0
1,442,0
1,1607,0
1,1036,0
1,228,0
1,593,0
1,515,0
1,617,0
1,17,0
1,14,0
1,8,0
1,58,0
1,8,0
1,881,0
1,2106,0
1,1103,0
1,1323,0
1,1874,0
1,2207,0
1,1212,0
1,529,0
1,1010,0
1,769,0
1,916,0
1,2715,0
1,1830,0
1,884,0
1,1523,0
1,1414,0
1,354,0
1,256,0
1,1799,0
1,1400,0
1,1178,0
1,1520,0
1,1222,0
1,505,0
1,1174,0
1,747,0
1,531,0
1,2297,0
1,778,0
1,906,0
1,935,0
1,285,0
1,16,0
1,92,0
1,10,0
1,8,0
1,21,0
1,2104,0
1,1279,0
1,508,0
1,150,0
1,1466,0
1,932,0
1,1755,0
1,1539,0
1,972,0
1,773,0
1,1353,0
1,1553,0
1,1071,0
1,402,0
1,157,0
1,51,0
1,12,0
1,549,0
1,782,0
1,508,0
1,1260,0
1,709,0
1,1984,0
1,799,0
1,1007,0
1,819,0
1,529,0
1,893,0
1,1011,0
1,787,0
1,1094,0
1,589,0
