n_days,mean_auc,std_auc,n_bootstrap
6,0.8369524986579704,0.061211665009242265,100
10,0.8550304798512984,0.048274914329494725,100
15,0.8536022649398215,0.04910005855595057,100
30,0.8562710973077869,0.044461098850863016,100
