test_name,auc,precision,recall,f1,n_train,n_test
Baseline: Mixed Datasets,0.8928917414286268,0.9004405286343612,0.797191887675507,0.8456764584195283,8880.0,2369.0
Cross-Dataset: Kaggle→SEMA,0.8371002985010523,0.9929577464788732,0.7085427135678392,0.8269794721407625,5693.0,5556.0
Cross-Dataset: SEMA→Kaggle,0.822836053598491,0.9125452352231604,0.7819121447028424,0.8421931533537433,8366.0,2883.0
Dataset Distinguishability,0.7960777369516135,,,,,
