epoch,loss,accuracy
1,55.18648776723378,33.333333333333336
2,48.01004586290957,66.66666666666667
3,24.502502573959863,33.333333333333336
4,0.6165592750506614,66.66666666666667
5,0.5854853502850035,66.66666666666667
6,0.5753653227393307,66.66666666666667
7,0.5728337021905985,66.66666666666667
8,0.571441595234088,66.66666666666667
9,0.5616407510059983,66.66666666666667
10,0.5669780164512236,66.66666666666667
11,0.5623034821517432,66.66666666666667
12,0.5509468063489714,66.66666666666667
13,0.5765144335689829,66.66666666666667
14,0.577322885171691,66.66666666666667
15,0.5807519461681594,66.66666666666667
16,0.5861416703729487,66.66666666666667
17,0.5818691725161538,66.66666666666667
18,0.5823165418496773,66.66666666666667
19,0.5822843282080409,66.66666666666667
20,0.5841609319644188,66.66666666666667
21,0.5867103316001038,66.66666666666667
22,0.5800351598369542,66.66666666666667
23,0.5824663327701056,66.66666666666667
24,0.581323822487646,66.66666666666667
25,0.5832276740180913,66.66666666666667
26,0.5839440631332682,66.66666666666667
27,0.5818100046755662,66.66666666666667
28,0.5806287113410323,66.66666666666667
29,0.5863595155637655,66.66666666666667
30,0.580141495412855,66.66666666666667
31,0.5809652627404056,66.66666666666667
32,0.5820198370449579,66.66666666666667
33,0.5807140918809977,66.66666666666667
34,0.5789914731659106,66.66666666666667
35,0.5791270105696437,66.66666666666667
36,0.5785181936043412,66.66666666666667
37,0.584048132843046,66.66666666666667
38,0.5767971606396917,66.66666666666667
39,0.5817873744822261,66.66666666666667
40,0.5843927219732484,66.66666666666667
41,0.5824266623205213,66.66666666666667
42,0.578629485261974,66.66666666666667
43,0.5807594710321569,66.66666666666667
44,0.5800065762961089,66.66666666666667
45,0.5816731928889431,66.66666666666667
46,0.5827427457517652,66.66666666666667
47,0.5824187135518487,66.66666666666667
48,0.5835245643089066,66.66666666666667
49,0.5831057215804485,66.66666666666667
50,0.5821762302918221,66.66666666666667
