scaler,auc,precision,recall,f1,mean_auc,std_auc
StandardScaler,0.8928917414286268,0.9004405286343612,0.797191887675507,0.8456764584195283,0.8390724608289084,0.059724626514810586
MinMaxScaler,0.8834653478135446,0.8953287197231834,0.8073322932917316,0.8490566037735849,0.8325597244381339,0.05719588454709756
RobustScaler,0.8928307454285291,0.9006156552330695,0.7987519500780031,0.8466308391897478,0.8390993192795694,0.059498557759034544
No Scaling,0.8930725766289161,0.9018567639257294,0.7956318252730109,0.8454206382096975,0.838818545999232,0.060096201192712334
