specificity_target,mean_sensitivity,sd_sensitivity,mean_specificity,sd_specificity,mean_FP_per_100k,mean_TP_per_100k,mean_referrals_per_100k,mean_PPV,n_splits
0.8,0.2562642496391897,0.2302269765785895,0.819100726297078,0.08652317970096357,18044.702551866474,64.06606240979742,18108.768614276272,0.018705931809217303,200
0.95,0.011829365079362823,0.04706038678557825,0.9826525601905207,0.03009811489837732,1730.4071209955518,2.9573412698407058,1733.3644622653926,0.03026521040171578,200
0.97,0.006496031746030625,0.0328493853947207,0.9877663009641564,0.024100558700121462,1220.3114788253986,1.6240079365076563,1221.9354867619063,0.02510675085047634,200
0.98,0.004948412698411818,0.02925515434598114,0.9912124557256035,0.020401655443748064,876.5575413710621,1.2371031746029544,877.794644545665,0.02504435763388762,200
0.99,0.0029841269841265183,0.021375336578806088,0.9980154730326768,0.011507143344866749,197.95656499048167,0.7460317460316296,198.70259673651333,0.019999999941676352,200
0.995,0.0029841269841265183,0.021375336578806088,0.9980154730326768,0.011507143344866749,197.95656499048167,0.7460317460316296,198.70259673651333,0.019999999941676352,200
0.999,0.0029841269841265183,0.021375336578806088,0.9980154730326768,0.011507143344866749,197.95656499048167,0.7460317460316296,198.70259673651333,0.019999999941676352,200
