K_days,mean_auc,std_auc,n_folds
1,0.7813207163207163,0.07271506116348685,4
2,0.8944012006512005,0.06492632388971534,4
3,0.9228912291412292,0.039840069053868186,4
4,0.9349867724867725,0.032812965534176466,4
5,0.9364316239316238,0.038108325234198055,4
6,0.9279558404558405,0.04682563644163027,4
7,0.923282967032967,0.045690922773253026,4
14,0.9366161012900143,0.007945381982987304,4
21,0.9406881270903009,0.01733896619917908,4
28,0.929972049689441,0.014884728371409233,4
