scaler,mean_auc,std_auc
StandardScaler,0.8390724608289084,0.059724626514810586
MinMaxScaler,0.8325597244381339,0.05719588454709756
RobustScaler,0.8390993192795694,0.059498557759034544
No Scaling,0.838818545999232,0.060096201192712334
