epoch,loss,acc,f1,precision,recall
1,0.6924535632133484,0.5425531914893617,0.044444444444444446,0.4090909090909091,0.02349869451697128
2,0.6818084120750427,0.5697399527186762,0.14553990610328638,0.7209302325581395,0.08093994778067885
3,0.6747322082519531,0.6158392434988179,0.3099787685774947,0.8295454545454546,0.1906005221932115
4,0.6681840419769287,0.648936170212766,0.4024144869215292,0.8771929824561403,0.26109660574412535
5,0.6614401340484619,0.6560283687943262,0.437137330754352,0.8432835820895522,0.2950391644908616
6,0.655996561050415,0.6737588652482269,0.48507462686567165,0.8496732026143791,0.3394255874673629
7,0.6503749489784241,0.693853427895981,0.5316455696202531,0.8647058823529412,0.3838120104438642
8,0.6456618309020996,0.6891252955082743,0.5244122965641953,0.8529411764705882,0.3785900783289817
9,0.6397632956504822,0.7044917257683215,0.5567375886524822,0.8674033149171271,0.40992167101827676
10,0.6326736807823181,0.7163120567375887,0.5932203389830508,0.8454106280193237,0.45691906005221933
11,0.6282013058662415,0.7304964539007093,0.6187290969899666,0.8604651162790697,0.4830287206266319
12,0.6223372220993042,0.7470449172576832,0.6480263157894737,0.8755555555555555,0.5143603133159269
13,0.6202568411827087,0.7529550827423168,0.6645264847512039,0.8625,0.5404699738903395
14,0.6129298210144043,0.776595744680851,0.7023622047244095,0.8849206349206349,0.5822454308093995
15,0.6088463068008423,0.7683215130023641,0.6956521739130435,0.8582375478927203,0.5848563968668408
16,0.6033952832221985,0.7801418439716312,0.7155963302752294,0.8634686346863468,0.6109660574412533
17,0.5962195992469788,0.7919621749408984,0.7373134328358208,0.8606271777003485,0.6449086161879896
18,0.5911393165588379,0.7872340425531915,0.7289156626506024,0.8612099644128114,0.6318537859007833
19,0.5888336300849915,0.7955082742316785,0.7429420505200595,0.8620689655172413,0.6527415143603134
20,0.5785828232765198,0.7919621749408984,0.7388724035608308,0.8556701030927835,0.6501305483028721
21,0.5734431743621826,0.7943262411347518,0.7433628318584071,0.8542372881355932,0.6579634464751958
22,0.5697675347328186,0.7943262411347518,0.747093023255814,0.8426229508196721,0.6710182767624021
23,0.564034640789032,0.8026004728132388,0.7562043795620438,0.8576158940397351,0.6762402088772846
24,0.5590381026268005,0.7966903073286052,0.75,0.8459016393442623,0.6736292428198434
25,0.5545105338096619,0.8037825059101655,0.7601156069364162,0.8511326860841424,0.6866840731070496
26,0.5509061217308044,0.8049645390070922,0.7612156295224313,0.8538961038961039,0.6866840731070496
27,0.5426008701324463,0.806146572104019,0.7623188405797101,0.8566775244299675,0.6866840731070496
28,0.5374343991279602,0.8073286052009456,0.7654676258992805,0.8525641025641025,0.6945169712793734
29,0.5305289626121521,0.8085106382978723,0.7672413793103449,0.853035143769968,0.6971279373368147
30,0.5295324921607971,0.8026004728132388,0.7617689015691869,0.839622641509434,0.6971279373368147
31,0.5202354788780212,0.8132387706855791,0.7755681818181818,0.8504672897196262,0.7127937336814621
32,0.5151030421257019,0.8096926713947991,0.7709815078236131,0.846875,0.7075718015665796
33,0.5128613710403442,0.8049645390070922,0.7666195190947667,0.8364197530864198,0.7075718015665796
34,0.5064283609390259,0.8085106382978723,0.7692307692307693,0.8463949843260188,0.7049608355091384
35,0.4990280270576477,0.8108747044917257,0.7752808988764045,0.8389057750759878,0.720626631853786
36,0.4942222833633423,0.8073286052009456,0.772027972027972,0.8313253012048193,0.720626631853786
37,0.49389150738716125,0.8120567375886525,0.7751060820367751,0.845679012345679,0.7154046997389034
38,0.48775097727775574,0.8085106382978723,0.7705382436260623,0.8421052631578947,0.7101827676240209
39,0.479215145111084,0.8085106382978723,0.7711864406779662,0.84,0.7127937336814621
40,0.48079848289489746,0.806146572104019,0.7677053824362606,0.8390092879256966,0.7075718015665796
41,0.4740319848060608,0.8073286052009456,0.7687943262411348,0.8416149068322981,0.7075718015665796
42,0.4691002666950226,0.8108747044917257,0.7759103641456583,0.8368580060422961,0.7232375979112271
43,0.4646575450897217,0.8085106382978723,0.7718309859154929,0.8379204892966361,0.7154046997389034
44,0.4666184186935425,0.8049645390070922,0.7685834502103787,0.8303030303030303,0.7154046997389034
45,0.45497927069664,0.8167848699763594,0.7807637906647807,0.8518518518518519,0.720626631853786
46,0.45882710814476013,0.8120567375886525,0.7763713080168776,0.8414634146341463,0.720626631853786
47,0.45170679688453674,0.8167848699763594,0.7795163584637269,0.85625,0.7154046997389034
48,0.4478050470352173,0.8144208037825059,0.7766714082503556,0.853125,0.7127937336814621
49,0.4406992197036743,0.817966903073286,0.7793696275071633,0.8634920634920635,0.7101827676240209
50,0.44595903158187866,0.8215130023640662,0.7852062588904695,0.8625,0.720626631853786
